"","Estimate","upperCI","Cul"
"1",15251.9858377239,-9459.67811515955,"x"
"2",16419.8368525949,-12248.4112747016,"x"
"3",16238.7016388063,-12847.5181373258,"x"
"4",14584.8182042503,-7030.76635797639,"x"
"5",14783.0979075094,-7481.24710470226,"x"
"6",15295.1167716495,-9165.73826333168,"x"
"7",16170.1233676343,-13186.7830013133,"x"
"8",11444.7035081977,-503.162967806424,"x"
"9",16208.304572422,-11441.4562530656,"x"
"10",16330.1357242429,-12293.4473401115,"x"
"11",16841.2663420097,-13865.0494289564,"x"
"12",17267.9118317332,-14505.1911425868,"x"
"13",13897.4423705889,-6315.09366925261,"x"
"14",17661.8685637362,-16144.5839828094,"x"
"15",14322.8977462511,-8686.67516446088,"x"
"16",15041.2024856982,-9273.94735692708,"x"
"17",12208.9387388301,1629.39913467569,"x"
"18",15257.668120047,-8481.42242274356,"x"
"19",15380.1030755687,-9925.28619296193,"x"
"20",16337.850955774,-13364.1199126462,"x"
"21",18167.0912743219,-15909.5764158139,"x"
"22",17082.5859107362,-14638.4152151942,"x"
"23",16925.9215102847,-13390.7689543229,"x"
"24",16622.4586531839,-13805.0190132452,"x"
"25",15888.756934159,-12480.0887872268,"x"
"26",14540.2184230986,-7671.32301555971,"x"
"27",14197.2224850585,-5960.81102539065,"x"
"28",13673.8608915941,-5591.6844757612,"x"
"29",17857.6539161636,-16235.7723815098,"x"
"30",16118.2955090808,-11436.9573778143,"x"
"31",15586.6319100097,-11896.1670604091,"x"
"32",16425.2018545692,-12660.7288874935,"x"
"33",18167.1181115192,-16083.5906168316,"x"
"34",12876.1310615054,-2733.58064976021,"x"
"35",17826.0788988632,-15547.3440567146,"x"
"36",11796.2890887827,-1107.38072792772,"x"
"37",16756.2775864427,-12694.1682856111,"x"
"38",11980.904437437,-280.921311140164,"x"
"39",15242.644937083,-10092.9185082223,"x"
"40",11812.4769897671,-1518.43486129439,"x"
"41",13391.2654328711,-4960.67435646041,"x"
"42",16510.1471989525,-12768.9479875153,"x"
"43",15572.7484647938,-9251.52664401852,"x"
"44",15323.2546067663,-10248.0345275124,"x"
"45",17062.8138107082,-14140.5877703684,"x"
"46",17451.5264846917,-14162.6726592472,"x"
"47",15254.251825636,-9822.47227426719,"x"
"48",15204.360039632,-9459.62970108726,"x"
"49",16373.3593381876,-12150.9104181254,"x"
"50",14544.2475125086,-7675.43637621356,"x"
"51",13551.1425160288,-5110.96777243069,"x"
"52",16134.3967157966,-11589.8162590069,"x"
"53",15686.1602693224,-10766.3063604642,"x"
"54",14484.9653427287,-7268.58288957536,"x"
"55",15608.7372361707,-11816.5465670786,"x"
"56",13958.9920618928,-6011.69330791566,"x"
"57",16555.6776085836,-12054.1609410743,"x"
"58",12276.7824664985,-772.7330988459,"x"
"59",15445.5002078399,-9971.39620608704,"x"
"60",17436.5759644023,-15296.5155757515,"x"
"61",13931.6925607351,-7167.57290887435,"x"
"62",13431.2602046552,-5384.09088636829,"x"
"63",16607.1079034718,-12958.0259354371,"x"
"64",11859.6161015627,-645.052686106374,"x"
"65",16206.9375255251,-11771.2269362931,"x"
"66",14078.3699159596,-7386.05107566995,"x"
"67",17875.0261478947,-15497.1150036321,"x"
"68",15813.093972736,-11712.0133936801,"x"
"69",15107.0874699259,-9506.32489699765,"x"
"70",15650.856683687,-10640.9318183832,"x"
"71",12544.6427907678,-2562.00583717935,"x"
"72",15258.8256032081,-9499.29913272541,"x"
"73",13665.7542257166,-7328.58753111991,"x"
"74",16876.4900783058,-12559.5946016464,"x"
"75",17373.8126249707,-13975.3323478509,"x"
"76",15153.9827498686,-8692.82863787963,"x"
"77",12841.7363613853,-3562.12840706227,"x"
"78",13941.4514018398,-7537.66974401761,"x"
"79",14355.6545344352,-7260.25060097381,"x"
"80",13575.228175355,-4826.91360988176,"x"
"81",13779.4185526114,-4793.58131524791,"x"
"82",12558.8530267572,-2687.34827870279,"x"
"83",17263.1706780356,-14193.4722932084,"x"
"84",14032.3101795508,-5760.56806693788,"x"
"85",18200.6546045851,-16322.8130001031,"x"
"86",15297.5240020405,-10722.8581187914,"x"
"87",16157.7586683323,-12619.0402580843,"x"
"88",15732.9431093615,-10307.450472906,"x"
"89",13221.0393091466,-3407.95480794553,"x"
"90",16525.282602343,-11944.5573589492,"x"
"91",13410.3502268209,-3388.8636655811,"x"
"92",13984.750705284,-7973.03433726069,"x"
"93",15259.9252387232,-9586.11794824936,"x"
"94",13265.7128452926,-5138.82311652243,"x"
"95",16067.0244991587,-12585.0134760166,"x"
"96",13562.0395176294,-5133.6728931289,"x"
"97",17995.0343471249,-15686.9690919113,"x"
"98",12260.228733429,-3317.14456456607,"x"
"99",13760.6132915681,-6423.34432383301,"x"
"100",13520.5188068846,-5099.2698104528,"x"
"101",13784.530525276,-6194.42715690181,"x"
"102",18940.4812113111,-17326.6297798717,"x"
"103",14811.3689927703,-7504.54089790514,"x"
"104",17170.3238380721,-14779.9487081293,"x"
"105",17657.9143351053,-15733.1933654474,"x"
"106",16183.096341286,-12894.6114444539,"x"
"107",14157.4499275435,-6449.44730703667,"x"
"108",15524.9517221028,-10837.191553668,"x"
"109",13115.4011463136,-4765.43903053886,"x"
"110",9926.41788274557,7020.18973023737,"x"
"111",13817.3851293192,-6251.62101660226,"x"
"112",15401.6925583709,-10219.6691135146,"x"
"113",12959.965172745,-4011.4034767513,"x"
"114",15923.534190142,-12175.0843650077,"x"
"115",15134.5027863297,-9396.21670336257,"x"
"116",13660.5009868212,-5311.24825328784,"x"
"117",15219.3406385299,-9746.11838948839,"x"
"118",18820.6240903154,-18154.7853983887,"x"
"119",14843.3206327677,-9362.81029507872,"x"
"120",18213.3517069586,-16204.1300244872,"x"
"121",14825.6854969907,-9320.33938176378,"x"
"122",15441.9945728493,-11429.1828827903,"x"
"123",14309.9805054312,-8163.73073088842,"x"
"124",12184.9380505345,-1372.87281073532,"x"
"125",15837.8367713961,-11261.1828518362,"x"
"126",16878.7343411049,-13245.9324930195,"x"
"127",17437.5937320307,-14965.021364266,"x"
"128",17557.643316251,-15396.0243468603,"x"
"129",11329.4725743457,-80.4394869572589,"x"
