"","Estimate","upperCI","Cul"
"1",15089.4278763601,16159.2608931363,"x"
"2",15133.195655446,16190.8722001816,"x"
"3",14616.261362461,15293.6201963556,"x"
"4",14792.7981277273,15396.6106576874,"x"
"5",15214.4105553019,16269.1924947379,"x"
"6",14683.1625513532,15215.0769861897,"x"
"7",14942.2318131632,15915.9128125702,"x"
"8",14888.0862256581,15819.2473307535,"x"
"9",14697.1949053018,15241.8993588345,"x"
"10",14980.2184248499,15787.5390823802,"x"
"11",14657.1907058425,15302.1041031685,"x"
"12",14860.8861549399,15755.8212649528,"x"
"13",14860.5648630616,15727.9413369315,"x"
"14",15106.3092049178,16140.9603438613,"x"
"15",15025.2830334628,16148.2646465378,"x"
"16",14936.7030194693,15754.1748256362,"x"
"17",16802.5542266309,20158.0001910275,"x"
"18",15195.4443797023,16230.7279845446,"x"
"19",15101.8169427304,16264.6806756738,"x"
"20",14828.3021964677,15635.840159445,"x"
"21",15297.9323202852,16429.8881401502,"x"
"22",14808.2246381436,15476.3828504189,"x"
"23",14716.8802970869,15251.4315583183,"x"
"24",15470.630579769,17053.7307361682,"x"
"25",15059.1426773782,16120.625640535,"x"
"26",14641.2346026915,15220.4437074837,"x"
"27",14492.948522929,14800.7151833441,"x"
"28",14867.5373642247,15543.7723095815,"x"
"29",14875.1622524194,15737.6933922424,"x"
"30",14932.4107606971,15569.7325482089,"x"
"31",14535.498530565,15136.4598728075,"x"
"32",15203.3175482819,16422.1190378369,"x"
"33",14924.9066782393,15737.881375672,"x"
"34",14948.6365559265,15791.8529729868,"x"
"35",14940.9752653043,15662.724199692,"x"
"36",15233.3873566349,16624.4237875367,"x"
"37",14704.5256771877,15228.0298499389,"x"
"38",15454.4301845585,16883.4629237654,"x"
"39",14712.3543926276,15320.3389908456,"x"
"40",14798.3766773146,15626.0778373446,"x"
"41",14808.8570843429,15676.3812173649,"x"
"42",14864.8922984417,15637.6049393325,"x"
"43",15166.6269140343,16107.6751879373,"x"
"44",14602.6170622002,15009.980505274,"x"
"45",14704.6784729259,15316.8678142348,"x"
"46",15118.6794327625,16065.9345204879,"x"
"47",14993.6491526167,15905.0558240559,"x"
"48",15569.0663483556,17430.3725527184,"x"
"49",14854.3719690548,15520.9810392316,"x"
"50",14937.5798627208,15714.3056136029,"x"
"51",14789.5769351503,15543.0230789579,"x"
"52",14658.6773364198,15132.4724148063,"x"
"53",15114.1040184701,16222.8169576218,"x"
"54",14991.859690817,15958.8550287427,"x"
"55",14578.1138732308,15001.8620617359,"x"
"56",14918.3141094085,15674.9047437471,"x"
"57",14706.8891548645,15305.8766633198,"x"
"58",15244.3890705396,16689.7346324246,"x"
"59",14675.1025767218,15331.8575202735,"x"
"60",14675.8876251918,15206.5494692187,"x"
"61",15098.0750490115,16191.4059294481,"x"
"62",15087.4645162463,16145.0476997066,"x"
"63",14707.7802087219,15310.7584512103,"x"
"64",14644.5563178356,15282.4204914499,"x"
"65",14597.7810263638,15101.458009713,"x"
"66",14603.5803235085,15116.5009127436,"x"
"67",14948.931619447,15617.4231169903,"x"
"68",14515.2274350179,14902.543135557,"x"
"69",14832.185091678,15547.3938545404,"x"
"70",14812.7910255395,15424.0735777422,"x"
"71",14617.417131176,15314.4396536434,"x"
"72",15132.4597170432,16236.4428531816,"x"
"73",14712.494081661,15463.2950964647,"x"
"74",15308.383631143,16561.0668623784,"x"
"75",15190.928275242,16078.451253803,"x"
"76",15322.8597685422,16714.3474127716,"x"
"77",14767.1159072103,15353.3150596279,"x"
"78",14589.7964623164,15168.9900501566,"x"
"79",14960.5697034514,15844.0105758473,"x"
"80",14840.4123627894,15565.8258349875,"x"
"81",14742.3748574327,15297.5478547894,"x"
"82",14498.852327298,15090.2661026007,"x"
"83",14840.721790839,15666.4343750164,"x"
"84",14875.6579857354,15561.7069423337,"x"
"85",15410.3276873428,16754.8349922345,"x"
"86",14740.0509056956,15282.446271615,"x"
"87",14945.8200331492,15854.028971935,"x"
"88",14619.6573278283,15144.198429514,"x"
"89",14811.7692565411,15531.3676513668,"x"
"90",14817.4660257178,15461.1935051086,"x"
"91",14604.472486918,15039.3007247158,"x"
"92",15466.0954843083,16854.1085253301,"x"
"93",14567.3747243596,15019.6982914429,"x"
"94",14845.0466168162,15717.5068566054,"x"
"95",15184.9064062015,16474.8298092959,"x"
"96",14772.1909009773,15549.0030312849,"x"
"97",15137.7586461447,16111.2712060538,"x"
"98",14908.2572403767,15980.0594007711,"x"
"99",15549.4779180487,17191.4416438422,"x"
"100",15065.4488393979,16182.5934808601,"x"
"101",14415.5214024765,14787.2259293758,"x"
"102",15412.8908545863,16573.5454268026,"x"
"103",14824.1594173671,15464.1861435652,"x"
"104",14789.9538623087,15633.0584856623,"x"
"105",14731.4089935563,15435.0183612052,"x"
"106",14770.2424582112,15440.508791662,"x"
"107",15044.2091276787,15910.6418114793,"x"
"108",15112.6456571254,16403.3528070128,"x"
"109",15327.3003229334,16627.7906320143,"x"
"110",15353.8225210174,16716.4467956124,"x"
"111",14993.7639869772,15946.3187984582,"x"
"112",15335.3113586432,16556.8179116774,"x"
"113",15008.9444180703,15998.645142889,"x"
"114",14867.2068236225,15686.5780648822,"x"
"115",14597.1830793154,15136.7781209317,"x"
"116",14664.8608271068,15214.4090367246,"x"
"117",15018.9083373171,16102.8293845478,"x"
"118",14946.7708127857,15791.1295874612,"x"
"119",14767.0840070064,15506.5191654229,"x"
"120",15015.389837639,15686.3421071727,"x"
"121",14845.228915699,15586.2828926903,"x"
"122",14748.3157223989,15499.5472430578,"x"
"123",14953.5550243675,16004.9371354046,"x"
"124",15244.3325531568,16520.1706416234,"x"
"125",14934.3914224458,15747.8990487858,"x"
"126",14914.5192661214,15653.6680744964,"x"
"127",14961.9453131434,15822.8460771198,"x"
"128",14983.763135789,15858.4560436228,"x"
"129",14566.0988464462,15122.3395390071,"x"
"130",15021.2901057992,15800.1204326992,"x"
"131",14490.8189173713,14942.232787035,"x"
"132",15145.1083308042,16241.6408626007,"x"
"133",16822.3224839161,19843.0141295278,"x"
"134",14899.5086438771,15869.0840415982,"x"
"135",15064.9199271594,16149.1889840589,"x"
"136",14736.3096038103,15454.3934717478,"x"
"137",15200.8098427303,16196.2695034844,"x"
"138",14940.7122578357,15914.3990618217,"x"
"139",14800.9315548408,15454.346338847,"x"
"140",14802.0090619135,15478.6723175114,"x"
"141",14781.1887027334,15568.9216657964,"x"
"142",14626.7654035625,14955.2581307008,"x"
"143",14845.3771674613,15547.1656718197,"x"
"144",14920.9444545766,15840.1455885013,"x"
"145",14904.7590673867,15716.815414203,"x"
"146",15197.4970062186,16162.8963681145,"x"
"147",14761.817398275,15407.8989964452,"x"
"148",14761.6546811613,15635.9279620056,"x"
"149",14992.8256979158,15774.1873194426,"x"
"150",15333.1082549546,16457.6976626837,"x"
"151",14462.798972436,14795.7672516468,"x"
"152",14627.0459156615,15102.7433583826,"x"
"153",14909.8581237538,15879.4911906376,"x"
"154",15278.544043715,16481.030080081,"x"
"155",14987.6489057339,15794.8414234772,"x"
"156",14839.3164363791,15700.4749089156,"x"
"157",14938.7056676559,15838.9465050368,"x"
"158",15249.105212657,16575.6498974337,"x"
"159",14863.4598609995,15723.3380803143,"x"
"160",14739.339948806,15574.294636521,"x"
"161",14693.1512206635,15257.0659334813,"x"
"162",15068.5748980292,16039.8168508663,"x"
"163",15635.5101425562,17196.4065038961,"x"
"164",14524.1990118322,15079.6832690094,"x"
"165",14877.3165072225,15585.1171932497,"x"
"166",14978.5917746192,15952.2369682815,"x"
"167",14990.954297152,15890.0410628707,"x"
"168",14927.1023618066,15786.3518563419,"x"
"169",14672.102134628,15072.8813196462,"x"
"170",14925.7894086252,15715.3910212239,"x"
"171",14848.4371799332,15528.7016729305,"x"
"172",15437.671526391,16876.56096085,"x"
"173",14797.7298324274,15592.1694041206,"x"
"174",15253.8032630516,16461.8206033161,"x"
"175",14793.5053069017,15391.0215886772,"x"
"176",14872.1465521731,15698.7545499642,"x"
"177",14395.9515787748,14680.3359408838,"x"
"178",15079.3746035439,16042.2108256719,"x"
"179",14856.8603109543,15679.8195413786,"x"
"180",14972.0911805713,15822.152498954,"x"
"181",14352.1726865561,14546.5099954666,"x"
"182",14846.2393131886,15663.8582504867,"x"
"183",14999.5116355002,15949.9538764488,"x"
"184",14760.0753062821,15567.9985463135,"x"
"185",14879.4327892243,15706.3650590458,"x"
"186",15265.2486549987,16418.4564070385,"x"
"187",15061.0113845367,16110.4697257268,"x"
"188",14878.660174245,15376.1152377918,"x"
"189",14668.5967178254,15188.554027148,"x"
"190",14933.0522687355,15732.4018870073,"x"
"191",15236.0496990877,16403.772247694,"x"
"192",15587.8892547038,17237.2997660606,"x"
"193",15151.9385328876,16521.6892443838,"x"
"194",14910.0928539055,15738.6839034226,"x"
"195",15034.349684871,15914.9923800091,"x"
"196",14708.2734877604,15263.762177501,"x"
"197",15121.9589763805,16118.455272816,"x"
"198",15023.9022851093,15907.633039756,"x"
"199",14949.3895511013,15789.7374295901,"x"
"200",14914.4033644501,15826.8653239309,"x"
"201",14546.4425792228,14966.7766723304,"x"
"202",14687.0742085979,15262.019498013,"x"
"203",15112.3607240097,16040.6264933106,"x"
"204",14629.9197287024,15187.4086699004,"x"
"205",14741.7722065518,15372.7789873238,"x"
"206",14603.8741246098,14976.9536049239,"x"
"207",14990.5273544839,15817.9754974787,"x"
"208",15136.579941255,16483.5340941918,"x"
"209",14537.601107055,15125.6117614894,"x"
"210",15076.3207623732,16153.8376251143,"x"
"211",14592.9846781497,14939.820841394,"x"
"212",14738.4813435535,15476.4598022121,"x"
"213",14593.0219230158,14936.108191508,"x"
"214",14559.3371534145,15026.7795173721,"x"
"215",15259.9883750548,16772.9300243891,"x"
"216",14838.3840119177,15393.9858704976,"x"
"217",14786.3891465665,15547.6947342761,"x"
"218",14902.461233043,15974.431888592,"x"
"219",15002.1086095708,15929.5359758808,"x"
"220",14759.1770061686,15479.0611231366,"x"
"221",15580.4420444077,17319.2955932378,"x"
"222",14729.5852495798,15202.8053982135,"x"
"223",14781.2165078811,15495.7415091786,"x"
"224",14895.9141001699,15688.4882574222,"x"
"225",14587.4475083003,15113.7230584515,"x"
"226",14588.1112543164,15253.7767928744,"x"
"227",14863.6346765345,15810.225152841,"x"
"228",14727.1271018728,15326.2583707342,"x"
"229",14538.9768103248,15059.7985217293,"x"
"230",15232.3547230499,16623.6902702603,"x"
"231",14761.6078691071,15401.0383345554,"x"
"232",14755.6764446624,15342.6312439694,"x"
"233",14696.0447977553,15385.1773255967,"x"
"234",15186.1994188237,16393.5232366651,"x"
"235",14605.8516040704,15225.0535667809,"x"
"236",14931.467844961,15846.5181605615,"x"
"237",14837.2759641222,15382.0911987176,"x"
"238",14580.5425717364,14976.9751173095,"x"
"239",14523.8257627127,15079.3815336175,"x"
"240",14800.3419831065,15492.5900407277,"x"
"241",14575.2540380313,15166.8649932991,"x"
"242",14413.1843652126,14743.3558516254,"x"
"243",14431.0363655911,14870.4635097736,"x"
"244",15609.1003190239,17378.6944311129,"x"
"245",14946.899346853,15843.6428422823,"x"
"246",15123.5644318474,16157.5942719643,"x"
"247",14907.4037682634,15909.0098835987,"x"
"248",14871.5649671394,15718.1400573441,"x"
"249",15140.1094000386,16239.8901366951,"x"
"250",15318.0822372547,16487.5435289443,"x"
"251",14810.8725228881,15613.6470453726,"x"
"252",15432.8422356347,16879.1645999951,"x"
"253",15029.7790123925,15804.0040007332,"x"
"254",14588.4465422753,15130.8554483556,"x"
"255",15138.9786369174,16480.6650063162,"x"
"256",14641.8126544288,14991.5968821339,"x"
"257",14932.9687114771,15779.2904943278,"x"
"258",14705.9389434979,15174.6462078135,"x"
"259",15000.2441237847,15880.5644434985,"x"
"260",15133.8428578746,16087.4910181126,"x"
"261",15242.3353067861,16459.0253592527,"x"
"262",14682.2846282439,15431.5118579788,"x"
"263",14923.7288604616,15616.0575889182,"x"
"264",14597.4095768475,15081.9257834616,"x"
"265",14769.520338124,15608.9909180959,"x"
"266",14707.0642528836,15083.8910717438,"x"
"267",14827.1356904017,15499.9625312999,"x"
"268",14847.373944474,15796.8038028577,"x"
"269",14630.9804724369,15341.4878557393,"x"
"270",15001.2398943091,15830.0396455829,"x"
"271",14708.6820190536,15581.8726608999,"x"
"272",14688.9809033301,15459.4847452228,"x"
"273",15167.6754122709,16303.4430180055,"x"
"274",15192.6601004175,16200.0809461274,"x"
"275",14538.1024627,15001.8107505592,"x"
"276",14797.9790219679,15415.9100865112,"x"
"277",14561.4697997024,15093.1747087631,"x"
"278",14695.9688754789,15381.9459312959,"x"
"279",14677.1085603447,15142.8240535739,"x"
"280",14964.0638860768,15862.727611151,"x"
"281",14866.8884236499,15560.6850707986,"x"
"282",14570.4072352674,14953.2988953874,"x"
"283",14728.7599008773,15459.0208013816,"x"
"284",14571.0555818437,15235.3770545077,"x"
"285",14585.1802172315,15170.0051137605,"x"
"286",14678.2770861076,15062.1425031841,"x"
"287",14653.408174191,15162.7266505491,"x"
"288",15491.2493966819,16980.5585993614,"x"
"289",14620.7613849761,15149.8618598616,"x"
"290",14698.8737944677,15354.5379509664,"x"
"291",14977.4335409249,16029.9117156078,"x"
"292",15011.7085082901,15944.0992791865,"x"
"293",15063.8570970157,16073.9664360766,"x"
"294",15387.4849885421,17396.6669611476,"x"
"295",14861.7633846981,15513.2265218621,"x"
"296",15069.8059521295,15945.4924222985,"x"
"297",14960.7418940565,15686.7128986351,"x"
"298",15077.5761340058,15871.6706409591,"x"
"299",15585.1943432126,17023.8853081901,"x"
"300",15300.3934433161,16690.5357590696,"x"
"301",14679.3391110566,15253.668444265,"x"
"302",15240.2137499732,16510.8361340419,"x"
"303",14923.7246964458,15702.1314394069,"x"
"304",14547.9968688458,15175.0643060259,"x"
"305",14597.4919763448,14948.7975590171,"x"
"306",14890.9657912049,15739.866010927,"x"
"307",14757.6295213681,15480.3755943969,"x"
"308",14897.1161873842,15724.2612246026,"x"
"309",15045.8430443326,15949.3230974109,"x"
"310",14613.7722869647,15336.4140324079,"x"
"311",15049.8494019983,16018.3300672425,"x"
"312",14909.1798523028,15842.4324343278,"x"
"313",14721.8801816268,15378.1598203138,"x"
"314",14848.9838145488,15809.2339776992,"x"
"315",14622.4077904829,15166.7063586483,"x"
"316",14907.7932911097,15908.748886252,"x"
"317",14811.6244487008,15588.6095675856,"x"
"318",14725.2673055467,15444.1131605632,"x"
"319",15014.8155834505,15822.1526423635,"x"
"320",14651.8638044589,15264.5523895558,"x"
"321",14532.6432359688,14976.2500720568,"x"
"322",14932.443195424,15547.7882367105,"x"
"323",14715.6902061755,15211.34759831,"x"
"324",14952.8483759654,15856.4535587091,"x"
"325",14677.1704607198,15355.7424732623,"x"
"326",14808.8298581396,15409.1069022068,"x"
"327",14693.6254789072,15299.8714376615,"x"
"328",14554.8643847961,15130.9021531801,"x"
"329",14206.8809341393,14421.0867283933,"x"
"330",14422.7197680817,14784.0448280858,"x"
"331",15175.277085338,16211.1335542179,"x"
"332",14638.5749935967,15224.1306684888,"x"
"333",14712.4239848546,15477.750224327,"x"
"334",14810.0101484763,15465.2400603135,"x"
"335",14696.0911096083,15192.3041278172,"x"
"336",14833.9375539701,15469.4609746692,"x"
"337",14500.8955189157,14949.1454863561,"x"
"338",14867.0882109302,15673.5313318818,"x"
"339",15110.6385937514,16289.973829552,"x"
"340",15024.1315040691,16011.4651928172,"x"
"341",14860.3366884502,15665.9928015134,"x"
"342",15034.0102055324,15953.8780486302,"x"
"343",15063.3487976203,16050.7107164833,"x"
"344",15051.3504086889,15944.9313643184,"x"
"345",14652.5660193897,15235.199486927,"x"
"346",14939.4514128092,15629.1125082944,"x"
"347",14794.3943288386,15358.4871415951,"x"
"348",14975.978105865,15746.2818938894,"x"
"349",14392.9253642145,14857.4149558129,"x"
"350",14866.748940641,15600.2367032962,"x"
"351",15675.5067638852,18349.1605318066,"x"
"352",14631.7304036765,15230.0507803868,"x"
"353",14735.0457107121,15459.3684201261,"x"
"354",15230.6459744428,16329.4667169619,"x"
"355",14902.3812346445,15667.4190712825,"x"
"356",15056.3638639009,16096.242955506,"x"
"357",14753.0709768897,15449.2536344761,"x"
"358",14475.2429126164,14648.183493394,"x"
"359",14927.5709008264,15622.5626291081,"x"
"360",14647.4012000361,15202.3392116481,"x"
"361",14938.3569279871,15781.1011892655,"x"
"362",15234.6438603822,16579.7219780927,"x"
"363",14682.3350571987,15360.1492514947,"x"
"364",15030.5144567492,15935.4837725694,"x"
"365",15058.9216248926,16120.3350757639,"x"
"366",14840.6703221614,15495.2629553499,"x"
"367",14535.902946001,15025.7165604156,"x"
"368",14591.6465410462,15031.2809338924,"x"
"369",14701.6253923827,15434.1013334505,"x"
"370",14566.0351466295,14800.0607612965,"x"
"371",14771.0046506458,15496.7516250247,"x"
"372",14827.155502132,15472.1274572818,"x"
"373",14725.7964659479,15416.8858532801,"x"
"374",14392.0693376714,14747.7943950175,"x"
"375",14948.0340176959,15891.0519441739,"x"
"376",14939.9407596567,15833.7551874537,"x"
"377",15106.7619602734,16434.9568276119,"x"
"378",14800.179757549,15588.8820291425,"x"
"379",14645.2383738252,15347.9000945932,"x"
"380",15275.7041379228,16709.4292019601,"x"
"381",14925.4820537003,15741.8903598558,"x"
"382",14802.5980648635,15602.3637629478,"x"
"383",15148.3951411832,16242.8848390561,"x"
"384",14771.8897008287,15426.9825852605,"x"
"385",14901.437979026,15676.6140711721,"x"
"386",14729.9883738754,15290.3882992827,"x"
"387",14723.79798694,15454.9601157456,"x"
"388",14834.813449254,15384.1969635894,"x"
"389",14731.6105263916,15446.2469198814,"x"
"390",15148.3091062944,16365.0920756286,"x"
"391",14768.5109265917,15477.2034486094,"x"
"392",14893.7455181762,15660.0272172502,"x"
"393",14807.2958231136,15544.6825607272,"x"
"394",14923.2414628935,15711.9088570205,"x"
"395",14803.6007613948,15342.9583049872,"x"
"396",14950.6263871426,15855.410450432,"x"
"397",15220.0601030179,16214.5130898047,"x"
"398",14727.8881951205,15421.1948354241,"x"
"399",14832.6513499572,15618.7233817906,"x"
"400",15133.6482976052,16729.5661629843,"x"
"401",14644.3578811286,15058.664043217,"x"
"402",15284.8192254249,16518.0628915956,"x"
"403",15350.034945928,16679.1518993687,"x"
"404",14749.0903451407,15535.8286501471,"x"
"405",15332.0715987354,16599.3674525856,"x"
"406",14618.4181874978,15259.753490459,"x"
"407",15329.7920271909,16773.7861566709,"x"
"408",14677.2455912634,15264.1938060078,"x"
"409",14951.6346860562,15759.6142563285,"x"
"410",14655.2123497025,15185.6198365481,"x"
"411",14883.895776841,15482.6773007441,"x"
"412",14545.5233049588,14893.0273758883,"x"
"413",14677.4584943498,15204.0001362348,"x"
"414",14926.4938217779,15679.574676095,"x"
"415",14815.8781852083,15645.149830053,"x"
"416",14826.1149411208,15741.8879586997,"x"
"417",14791.5215054531,15653.3783280806,"x"
"418",14807.5697319034,15541.0022924655,"x"
"419",14756.6136441606,15380.251298407,"x"
"420",14954.9699113852,15797.4098364933,"x"
"421",14792.2375644968,15403.5218024637,"x"
"422",14819.1047757393,15471.2818069639,"x"
"423",14620.0611874592,15145.5190505861,"x"
"424",14615.3529158731,15012.4218451313,"x"
"425",14724.8526456313,15355.6689215545,"x"
"426",14707.0926313016,15241.7057487573,"x"
"427",15179.8600317266,16260.0420529595,"x"
"428",14895.6536536514,15742.5320822122,"x"
"429",15189.3566198675,16269.1469866091,"x"
"430",15039.763690726,15985.4835233691,"x"
"431",15098.1179149939,16016.4207898179,"x"
"432",14744.2513269499,15608.5553154494,"x"
"433",14975.3761147312,15776.5007357377,"x"
"434",15209.5014104204,16892.8407582288,"x"
"435",14712.3526469524,15415.9467681264,"x"
"436",15527.1416030533,16856.9705890437,"x"
"437",14716.4032825999,15525.5202105598,"x"
"438",14641.6789869678,15076.2285580443,"x"
"439",14873.1673340247,15575.1817113815,"x"
"440",14561.1952999072,14975.0281590248,"x"
"441",15112.0525903957,16053.3933709364,"x"
"442",14698.912284739,15235.5403344239,"x"
"443",14963.7657805713,15681.726737629,"x"
"444",14651.7559033188,15016.3551335092,"x"
"445",15288.0456888739,16700.1875111265,"x"
"446",14569.6633157615,15078.3942534392,"x"
"447",15219.1617554908,16428.290585999,"x"
"448",14978.5049133843,16022.2332125912,"x"
"449",14718.123323794,15294.4195403613,"x"
"450",14855.0034641539,15638.8454831625,"x"
"451",14880.6173981809,15558.5180071428,"x"
"452",14835.5852890716,15535.488210894,"x"
"453",14888.5493869814,15651.4883906846,"x"
"454",14915.2442139053,16010.5187181536,"x"
"455",14695.1251461177,15178.2243095065,"x"
"456",14875.2944975819,15696.8119246339,"x"
"457",15016.1071936249,16058.5483207443,"x"
"458",15145.074667028,16350.0291628626,"x"
"459",14930.7539367082,15730.7364063402,"x"
"460",14723.6422653608,15560.8779281176,"x"
"461",14950.0678239858,15766.9316694448,"x"
"462",14623.5585943102,15307.9809194906,"x"
"463",14925.5443985205,15767.7106927761,"x"
"464",15281.8993262624,16416.948960501,"x"
"465",14730.5191314518,15530.5355810164,"x"
"466",14489.4082169048,14966.9321054342,"x"
"467",14557.2504594878,14993.92775221,"x"
"468",15083.0424494261,16102.8936085915,"x"
"469",14793.7072485979,15537.5780064539,"x"
"470",14763.3226267848,15375.2130667268,"x"
"471",15220.2964345867,16347.6325204563,"x"
"472",14664.4307376218,15283.5811805462,"x"
"473",14562.9627887382,15014.9255863509,"x"
"474",14591.7456263663,15073.8291310038,"x"
"475",14914.5643017821,15928.9123131612,"x"
"476",14697.960855282,15303.9022202619,"x"
"477",14898.8648468445,15734.16931996,"x"
"478",14942.4485841583,15834.9800221083,"x"
"479",14472.6500985253,14847.1854414922,"x"
"480",14712.4343507901,15314.2973860872,"x"
"481",14595.3503302449,15180.3967000342,"x"
"482",15133.4322381218,16242.3818904016,"x"
"483",14600.8745333154,14958.3746414194,"x"
"484",15076.0809136417,16137.2051210315,"x"
"485",14979.3457472848,15955.8104185601,"x"
"486",14535.0462590004,14923.3806467796,"x"
"487",15293.6428019044,16613.029154905,"x"
"488",15217.0696709903,16354.6111658461,"x"
"489",14622.144742523,15367.891843174,"x"
"490",14796.2353036609,15328.2829542999,"x"
"491",15118.5179515767,16305.5570361273,"x"
"492",14972.3838736904,15908.5402721619,"x"
"493",14652.4829939259,15238.9360538365,"x"
"494",14730.0242571813,15378.6800528923,"x"
"495",14704.5381324699,15395.9484484402,"x"
"496",15136.2215942019,16350.1983322167,"x"
"497",14991.5925253547,15808.9765751154,"x"
"498",14627.0957695559,15118.6405036792,"x"
"499",15144.1143244461,16177.1963454082,"x"
"500",14612.5076736652,15108.3445237804,"x"
"501",14907.7479755678,15674.7850298199,"x"
"502",14905.7183579817,15728.562506434,"x"
"503",14518.6176357364,15042.9008095696,"x"
"504",14636.2001041505,15071.1285944434,"x"
"505",15167.8630949905,16279.0178491438,"x"
"506",14705.5904811928,15476.5192118887,"x"
"507",14708.3674955767,15222.4013106984,"x"
"508",14761.0362193783,15371.4356609119,"x"
"509",14985.8235315048,15892.6453924224,"x"
"510",15093.0572093885,16061.9611766703,"x"
"511",14730.416891654,15268.9561532701,"x"
"512",14820.3489789648,15600.5529191529,"x"
"513",14838.1657797502,15608.2049636593,"x"
"514",14530.3183867258,15137.1920070209,"x"
"515",14735.5705557095,15319.0809411911,"x"
"516",14879.6958567782,15662.3975122472,"x"
"517",15178.1369861911,16290.3516931061,"x"
"518",14883.2178224308,15536.2666725216,"x"
"519",14834.5370889784,15574.2205594895,"x"
"520",14837.3312561875,15413.3708081332,"x"
"521",14989.2595398997,15922.0791930567,"x"
"522",14706.2094529009,15445.2563815649,"x"
"523",14873.0635409677,15606.7590800441,"x"
"524",14897.0242913238,15789.3979646591,"x"
"525",14579.6171904293,15017.9659061363,"x"
"526",14693.6012235423,15460.3257740653,"x"
"527",14712.0844090442,15262.0078810948,"x"
