"","Estimate","upperCI","Cul"
"1",9512.92262022216,-7700.27106417238,"x"
"2",10401.1008018827,-9952.16751965453,"x"
"3",9472.16699748558,-7774.92858081405,"x"
"4",9935.5506191298,-8649.5959822418,"x"
"5",9491.63083303726,-7679.02346458429,"x"
"6",9861.96487833291,-8493.84620104623,"x"
"7",10050.0482959814,-9027.01821271028,"x"
"8",9880.96735758146,-8842.49072234122,"x"
"9",9746.22371981646,-8224.63982596311,"x"
"10",10105.6004726895,-8986.84021869129,"x"
"11",9570.00072399774,-7951.27615235615,"x"
"12",9529.75341683798,-7771.25732470097,"x"
"13",9922.28495493776,-8730.51224339947,"x"
"14",10304.4620962787,-9522.01954081517,"x"
"15",10206.840766308,-9433.90013075297,"x"
"16",10041.8388689559,-8867.47911140385,"x"
"17",9923.49843982044,-8635.34832928229,"x"
"18",9672.521077254,-8089.19737840446,"x"
"19",9310.29104475592,-7262.43939545735,"x"
"20",9922.81705030345,-8714.26326885951,"x"
"21",10357.6405074093,-9480.59133256912,"x"
"22",9799.82252352057,-8370.24291047866,"x"
"23",9476.06396166312,-7603.14343605206,"x"
"24",10064.124903006,-8881.98937733355,"x"
"25",9501.24738399249,-7757.91557882352,"x"
"26",9596.8000340176,-7889.96812796933,"x"
"27",9524.47540736318,-7692.5643164528,"x"
"28",10033.7552819128,-8818.09876442706,"x"
"29",9059.71142498928,-6664.66647395683,"x"
"30",10126.4581575726,-8972.31923727957,"x"
"31",9634.3622574432,-8140.46403918992,"x"
"32",10331.4680353868,-9590.61864427298,"x"
"33",9804.47079624383,-8330.82307772221,"x"
"34",9918.0318084879,-8655.7896953652,"x"
"35",9945.59631574966,-8626.47992017499,"x"
"36",9769.69009978432,-8357.26951334418,"x"
"37",9595.72176817514,-7825.39799669234,"x"
"38",9618.08011102175,-7816.65402700207,"x"
"39",9774.68360113232,-8308.86785206516,"x"
"40",9733.8922242992,-8425.12963552502,"x"
"41",9887.17060910405,-8692.89931832491,"x"
"42",9978.34886172809,-8779.7277414768,"x"
"43",10115.2595221591,-8957.44625151776,"x"
"44",9707.94672127613,-8183.1443034975,"x"
"45",9240.340448192,-7107.2306604626,"x"
"46",10286.9199705093,-9396.20622995462,"x"
"47",10211.4755805416,-9404.03688990104,"x"
"48",10022.069744936,-8785.65542326253,"x"
"49",9680.85341837525,-8010.7580111647,"x"
"50",9695.38150485261,-8121.67764848369,"x"
"51",9659.42705123308,-8187.97486205754,"x"
"52",9724.96674763646,-8208.7431015095,"x"
"53",10276.2761276631,-9595.97538542934,"x"
"54",10125.3867276663,-9205.08361359692,"x"
"55",9668.27781237977,-8089.36697162882,"x"
"56",10014.0725648289,-8861.96512049221,"x"
"57",9442.85711853594,-7598.05409515272,"x"
"58",9848.98142511527,-8498.84156516098,"x"
"59",9694.70400646025,-8205.95412972066,"x"
"60",8747.99754033859,-6081.89406120481,"x"
"61",10257.1545290091,-9488.64857230597,"x"
"62",9736.57472979287,-8332.13992976837,"x"
"63",9260.97036885177,-7229.89857978276,"x"
"64",9702.14956444998,-8347.01302145563,"x"
"65",9438.21247097213,-7575.08456041209,"x"
"66",9022.78675062403,-6665.00863063069,"x"
"67",10065.759396504,-8905.70043229299,"x"
"68",9640.59436042405,-8103.50050990221,"x"
"69",9903.3758735353,-8606.41248851732,"x"
"70",9655.77142737739,-8007.3833660887,"x"
"71",9668.33355486386,-8256.26877247386,"x"
"72",10143.362517019,-9142.5871109956,"x"
"73",9519.80199654078,-7903.6000924522,"x"
"74",10359.2079694533,-9589.28181854967,"x"
