"","Estimate","upperCI","Cul"
"1",24728.6260552513,25526.9398068104,"x"
"2",25271.6293933766,26636.3867753852,"x"
"3",24299.037192574,24879.5837943833,"x"
"4",24680.2422935101,25333.2220452655,"x"
"5",24934.0613467802,25999.4486242187,"x"
"6",24601.1082096232,25120.2820316236,"x"
"7",24786.650965999,25786.5057593629,"x"
"8",24412.9675109306,24954.8599323287,"x"
"9",24598.6195766491,25267.4776041404,"x"
"10",25062.4716264921,26147.183520377,"x"
"11",24287.2264285022,24735.8595196129,"x"
"12",24566.788720888,25318.9114836116,"x"
"13",24753.6648349493,25630.7259908418,"x"
"14",25441.6029654415,27062.5178726019,"x"
"15",25094.1278301912,26529.3370891165,"x"
"16",25047.2295289023,26209.3296859746,"x"
"17",25071.5916662527,26110.8566169133,"x"
"18",24976.3667420549,26091.3073396739,"x"
"19",24376.9205003218,24935.8737444898,"x"
"20",24719.737767909,25648.0087306717,"x"
"21",25761.06873981,27543.8797278346,"x"
"22",24587.1475445191,25177.7836248248,"x"
"23",24478.3768567954,24942.0778807599,"x"
"24",25672.0387529592,27502.9281314396,"x"
"25",24714.7121493318,25575.7188182059,"x"
"26",24742.2125765944,25638.2605290349,"x"
"27",24863.7088213307,25785.744429337,"x"
"28",25022.332214505,26083.4638224065,"x"
"29",24469.0689948893,25108.2221408445,"x"
"30",25103.4596293362,26093.6731749503,"x"
"31",24288.9006247342,24779.1364858431,"x"
"32",25497.2800138402,27253.2529745976,"x"
"33",24712.1100529927,25498.6386427798,"x"
"34",24957.6200635791,26016.6916103091,"x"
"35",24775.5176191065,25428.9345886226,"x"
"36",24953.0332666151,26049.8442277712,"x"
"37",24489.3164333932,24847.9876828737,"x"
"38",25592.5639546114,27236.6653461249,"x"
"39",24605.1653988042,25306.2852429888,"x"
"40",24364.1325832938,24857.5821351701,"x"
"41",24444.8905713556,24804.1594472931,"x"
"42",24894.9600591629,25927.9229715529,"x"
"43",25509.0769837112,27049.7625983671,"x"
"44",24536.5256369009,25200.7105431132,"x"
"45",24300.4771580182,24703.3761810687,"x"
"46",25289.0925629098,26553.3874438937,"x"
"47",24983.4010543931,26068.4765314723,"x"
"48",25623.4760844903,27380.1254068469,"x"
"49",24557.5789346307,25023.0632028012,"x"
"50",24604.936142006,25218.8742101052,"x"
"51",24428.2429629956,24872.1353801176,"x"
"52",24518.673372064,25095.6221137428,"x"
"53",25056.671472641,26206.7000736816,"x"
"54",24726.244755715,25342.157072085,"x"
"55",24544.345807858,25190.5537052081,"x"
"56",24843.969173421,25672.3348211842,"x"
"57",24886.1698492881,26003.5768698102,"x"
"58",24950.5647237049,26049.0119852388,"x"
"59",24393.8208405087,24786.5771715748,"x"
"60",24605.2991155051,25382.6661970306,"x"
"61",25196.4580087167,26555.8834543665,"x"
"62",24720.9003487772,25493.8977195823,"x"
"63",24410.4735779963,24923.5670645653,"x"
"64",24341.5990323885,24834.7218515689,"x"
"65",24509.5622040619,25160.0189516039,"x"
"66",24592.5691553918,25430.7805542087,"x"
"67",24802.907167774,25261.0543257602,"x"
"68",24396.6439726826,24934.4424129498,"x"
"69",24855.3100033724,25917.5686800398,"x"
"70",24514.1817411037,25010.3067644278,"x"
"71",24314.5464175263,24848.0194626325,"x"
"72",25042.4237417891,26119.9735827469,"x"
"73",24351.4539467712,24882.3367661598,"x"
"74",25622.8331124331,27355.8253296483,"x"
"75",25141.2739141795,26141.4775343263,"x"
"76",25359.4880842127,26790.855306025,"x"
"77",24940.4265982007,25973.0154621929,"x"
"78",24484.0934659546,25215.3586932257,"x"
"79",25122.1359577753,26439.3402579314,"x"
"80",24675.2552395672,25406.5984423292,"x"
"81",24631.7325847195,25240.3827198929,"x"
"82",24427.4875278215,25092.6094436807,"x"
"83",24572.7375136323,25335.6944317761,"x"
"84",24981.7968666345,25985.8013407153,"x"
"85",27757.2481001721,31756.6696113865,"x"
"86",24852.3695457933,25663.4548188233,"x"
"87",25163.5963810566,26515.4938084594,"x"
"88",24776.6226449916,25672.1354578265,"x"
"89",24697.5580414631,25442.8807866191,"x"
"90",24960.8757059551,26095.3779945743,"x"
"91",24679.307553509,25427.5036937728,"x"
"92",25703.9009813218,27414.3310752973,"x"
"93",24501.7536438967,25077.1577201852,"x"
"94",24609.6998459912,25389.8228279829,"x"
"95",25184.7503017507,26612.4286483603,"x"
"96",24439.6915854773,24926.4504620768,"x"
"97",26269.5913458208,28340.0425889454,"x"
"98",24524.9483702384,25108.3725926165,"x"
"99",25569.3079049816,27156.5038497178,"x"
"100",24818.6768140152,25751.4105121896,"x"
"101",24272.206072136,24793.8347341008,"x"
"102",28344.7879171515,33071.9341593567,"x"
"103",24611.2533279553,25230.0876758534,"x"
"104",24784.899198412,25839.9133689353,"x"
"105",24591.8405582844,25391.051548704,"x"
"106",24673.2300907723,25377.067013276,"x"
"107",25188.6014789405,26375.8285220966,"x"
"108",24863.2792201233,25925.8729037898,"x"
"109",25676.5528959318,27500.3175679253,"x"
"110",25219.3646774414,26458.0893208132,"x"
"111",25227.9474951801,26668.936134171,"x"
"112",25219.837797184,26429.2435237647,"x"
"113",24604.0308013494,25306.7750058475,"x"
"114",24878.1495704186,25945.0290685482,"x"
"115",24408.9650636438,24879.7796191836,"x"
"116",24626.4655775655,25316.879420036,"x"
"117",24846.1831743655,25872.1598011453,"x"
"118",24777.5823117171,25630.2566477387,"x"
"119",24584.3839706281,25286.2704013869,"x"
"120",25413.8954791001,26569.5571371618,"x"
"121",24789.3945010103,25653.3061396198,"x"
"122",24694.8183229205,25603.8169816778,"x"
"123",24782.9478287109,25830.2181066343,"x"
"124",25307.6457509823,26665.7826160495,"x"
"125",24761.4102591785,25633.6216789093,"x"
"126",25122.0835647778,26260.5818664096,"x"
"127",25056.5114378015,26217.4591960987,"x"
"128",25089.3618587029,26271.04884034,"x"
"129",24455.6585798698,25239.4070180044,"x"
"130",24764.4849239246,25353.0853074216,"x"
"131",24483.6975820329,25137.6176982504,"x"
"132",25211.4460648769,26528.7254946316,"x"
"133",25055.1904481985,26068.5472276085,"x"
"134",24395.7515402526,24952.829494084,"x"
"135",24553.9532389689,25282.7285577379,"x"
"136",24492.8748052408,24981.4445144847,"x"
"137",25552.69233275,27110.4217742874,"x"
"138",24585.41292619,25365.8398509782,"x"
"139",24780.929610797,25613.0112096123,"x"
"140",24542.8148003588,25060.1286939082,"x"
"141",24404.528195221,24933.5746457055,"x"
"142",24607.6498563885,25250.3255438139,"x"
"143",24453.9080552457,24879.4039177159,"x"
"144",24877.5849067078,25946.9660503317,"x"
"145",24544.7412715776,25103.0276740865,"x"
"146",25555.1655961042,27089.1794616323,"x"
"147",24429.2145538624,24826.1831885293,"x"
"148",24451.7628973975,25204.3883449548,"x"
"149",25323.5803096641,26685.7544376764,"x"
"150",24770.6002865631,25375.5610916418,"x"
"151",24632.1783088509,25397.9258614702,"x"
"152",24517.8848445903,25085.2143615672,"x"
"153",24637.6722882784,25447.3183614434,"x"
"154",25656.9001354302,27461.6325722769,"x"
"155",25162.3800214907,26353.382992493,"x"
"156",24500.9761099743,24948.6000826868,"x"
"157",24465.9491581665,25044.2274869843,"x"
"158",25247.4829038231,26691.8397462381,"x"
"159",24514.7388530046,25234.7022117816,"x"
"160",24601.6479924194,25544.946662079,"x"
"161",24562.0192747445,25340.5452840233,"x"
"162",25251.8376023151,26609.9293009102,"x"
"163",30092.5304594983,37773.9033127634,"x"
"164",24664.6579162091,25607.7478323235,"x"
"165",24683.8773926921,25329.6611489138,"x"
"166",24730.6060964317,25658.5728264395,"x"
"167",25149.0803537408,26434.4108312911,"x"
"168",24667.707940768,25439.530279258,"x"
"169",24749.7190601748,25536.4472533307,"x"
"170",24860.0926022303,25809.0255736108,"x"
"171",24712.8990282539,25349.1055216957,"x"
"172",27443.4774473368,31132.4129192712,"x"
"173",24839.7953331487,25906.2614878846,"x"
"174",25203.1335889721,26463.8858845749,"x"
"175",24759.9342700542,25582.7841284491,"x"
"176",24564.1070026502,25288.238127908,"x"
"177",24883.3196922421,25953.9897703419,"x"
"178",25003.7563432927,26118.971854588,"x"
"179",24669.6015522439,25475.8689488079,"x"
"180",24736.0492516809,25474.1100562754,"x"
"181",24702.3721207732,25502.5434383524,"x"
"182",24705.5343362627,25575.4532703864,"x"
"183",24499.6327256694,25106.7879786071,"x"
"184",24672.2200397768,25609.0770472688,"x"
"185",24703.0343187146,25477.4402917151,"x"
"186",25132.6222520476,26255.3402172126,"x"
"187",25143.3989357184,26456.2576538561,"x"
"188",25094.0472417074,26085.6823829305,"x"
"189",24459.6254339428,24949.7567251165,"x"
"190",24500.9264605753,24929.3291290699,"x"
"191",25274.6108996634,26599.9119774825,"x"
"192",25619.6727392031,27198.8877743925,"x"
