"Name","Unmodelled (BP)",,"Modelled (BP)",,"Indices
Amodel 89.6
Aoverall 100.4",
,"from_95_4","to_95_4","from_95_4","to_95_4","Acomb","A","L","P","C",
"",,,,,,,,,,
"Start ELSA",,,"44655","43395",,,,,100,
"",,,,,,,,,,
"Early Later Stone Age",,,,,,,,,100,
"Early Later Stone Age_Kernel","-2","2","-2.25","2.85",,96.2,,,100,
"Early Later Stone Age_Scale","9.97466e-18","1","0.13","0.575",,100,,,100,
"Sum ELSA",,,,,,,,,100,
"SHCal20",,,,,,,,,,
"OxA-33817","21694","20952","21778","20953",,97.4,,,100,
"IT-C-3866","21930","21025","22098","20943",,99.8,,,100,
"IT-C-3422","22325","21155","22653","20968",,96.6,,,100,
"IT-C-3427","22527","21390","22863","21053",,103.9,,,100,
"IT-C-3835","23107","22318","23713","22033",,94.5,,,100,
"IT-C-3842","22064","21102","22368","20873",,96.6,,,100,
"IT-C-3850","22090","21271","22203","21100",,100.6,,,100,
"IT-C-3410","22259","21072","22318","20888",,103.3,,,100,
"IT-C-3426","22412","21430","22460","21168",,95.9,,,100,
"IT-C-3859","22485","22049","22513","21980",,100.2,,,100,
"OxA-33816","22022","21423","22048","21363",,103,,,100,
"IT-C-4010","22098","21439","22145","21368",,99.7,,,100,
"IT-C-3415","22546","21454","22933","20948",,101.3,,,100,
"IT-C-4638","25286","24380","25608","24193",,98.3,,,100,
"AA-6957","25891","25158","25885","25028",,103.2,,,100,
"AA-6956","25902","25236","25953","25148",,98.7,,,100,
"IT-C-3838","26478","25653","26758","25293",,105.7,,,100,
"IT-C-3417","26921","25375","27088","25213",,97.9,,,100,
"IT-C-3860","23758","23061","23798","22978",,99.6,,,100,
"IT-C-3419","24050","22975","24403","22678",,101.3,,,100,
"Pta-2298","25784","24966","25978","24688",,98.4,,,100,
"UW-300","26253","24268","26608","23918",,102.7,,,100,
"IT-C-3833","25872","25008","25988","24668",,103.8,,,100,
"Pta-1810","25889","25128","25993","24738",,103.3,,,100,
