"Name","Unmodelled (BP)",,
,"from_95_4","to_95_4",
"SHCal20",,,
"OxA-33817","21694","20952",
"IT-C-3866","21930","21025",
"IT-C-3422","22325","21155",
"IT-C-3427","22527","21390",
"IT-C-3835","23107","22318",
"IT-C-3842","22064","21102",
"IT-C-3850","22090","21271",
"IT-C-3410","22259","21072",
"IT-C-3426","22412","21430",
"IT-C-3859","22485","22049",
"OxA-33816","22022","21423",
"IT-C-4010","22098","21439",
"IT-C-3415","22546","21454",
"IT-C-4638","25286","24380",
"AA-6957","25891","25158",
"AA-6956","25902","25236",
"IT-C-3838","26478","25653",
"IT-C-3417","26921","25375",
"IT-C-3860","23758","23061",
"IT-C-3419","24050","22975",
"Pta-2298","25784","24966",
"UW-300","26253","24268",
"IT-C-3833","25872","25008",
"Pta-1810","25889","25128",
"IT-C-3412","26320","25121",
"IT-C-3843","26254","25276",
"IT-C-3420","26900","25038",
"IT-C-4695","26354","25677",
"IT-C-3421","26955","25655",
"IT-C-3416","26797","25134",
"IT-C-3853","26345","25635",
"IT-C-3839","26422","25356",
"IT-C-3431","26875","25301",
"IT-C-3851","26716","25816",
"IT-C-3407","27076","25785",
"IT-C-3863","26890","25919",
"IT-C-3428","27230","25596",
"IT-C-3424","27215","25915",
"IT-C-3413","27710","26379",
"IT-C-3881","27731","27103",
"IT-C-3847","27996","27274",
"IT-C-3408","28670","27190",
"LJ-2892","42469","34256",
"Pta-704","45540","40849",
"Pta-4984","25581","24230",
"Pta-4986","31781","31079",
"Pta-4784","42962","39526",
"Pta-4779","44607","41336",
"Pta-4758","44514","41220",
"Pta-4744","44811","41555",
"Pta-4778","44907","40080",
"Pta-4793","48384","40805",
"Pta-5015","44431","40591",
"OxA-23173","24817","24197",
"OxA-23172","40833","39373",
"OxA-X-24187-47","41740","39860",
"KIA-44423","44380","40809",
"OxA-W-2455-52","41172","39780",
"Pta-4711","44190","41145",
"Pta-4706","42178","38603",
"Pta-4700","41726","37594",
"Pta-4710","44725","41464",
"Pta-4775","44485","42025",
"Pta-4697","41942","39412",
"Pta-4776","44407","41853",
"Pta-422","42691","39996",
"Pta-423","42265","39637",
"Pta-424","42425","38686",
"Pta-4875","42637","41402",
"Pta-4880","44216","42481",
"Pta-4903","44926","40726",
"Pta-4854","43226","39702",
"Pta-4852","42231","39103",
"Pta-4856","46620","40577",
"ANUA-17304","44068","41641",
"UW-339","29088","25593",
"Pta-1807","27339","26123",
"GifA 13003/ SacA 31985","23273","22837",
"GifA 13004/ SacA 31986","22901","22407",
"GifA 13006/ SacA 31988","22925","22445",
"GifA 13007/ SacA 31989","23218","22725",
"GifA 13008/ SacA 31990","24196","23784",
"EBC1","19335","18535",
"Pta-1597","24852","23784",
"Pta-5304","25227","23978",
"EBC14","29735","28135",
"EBC15","31735","30135",
"EBC16","30735","29135",
"Shfd-11057","21728","15728",
"Shfd-11058","23628","16028",
"LJ-3137","25284","23903",
"AA-6451","26883","25788",
"Pta-101","29559","27967",
"AA-8565","29579","28265",
"LJ-3138","28736","26474",
"Pta-3586","24477","23061",
"Pta-3566","33199","30499",
"Pta-3591","39120","35106",
"I-13040","33219","29788",
"Wk-20241","22890","22360",
"KKH8","34941","30941",
"OZK050","26418","25567",
"OZ052","30735","29233",
"OSL-NT11-25","22334","18334",
"OSL-NT11-27","29734","24934",
"OSL-NT11-10","29834","24634",
"OSL-NT11-26","23234","19634",
"OSL-NT11-12","30034","24834",
"OSL-NT11-13","32834","26834",
"OSL-NT06-4","36634","29034",
"OSL-NT06-3","36134","29334",
"UOW-PL8-6","26036","19636",
"AA-99784","23009","21776",
"AA-98830","22911","20075",
"UOW-PL8-5","28736","21536",
"AA-89907","26378","25900",
"OxA-32917","24278","23840",
"Pta-919","24930","23810",
"Pta-6059","25239","23947",
"OxA-32919","24630","24041",
"OxA-32918","24910","24230",
"Pta-6271","29981","28776",
"Pta-6268","31044","29320",
"OxA-32915","30038","29280",
"Pta-966","27765","26462",
"UBB8","37927","25927",
"UBB9","34927","22927",
"Pta-4389","34156","30491",
"OxA-8530","14045","13368",
"IT-C-3870","15522","14990",
"IT-C-3864","12709","12100",
"IT-C-3483","14050","13615",
"IT-C-3854","14123","13794",
"IT-C-3841","14800","13800",
"IT-C-3840","14896","14056",
"IT-C-3836","15225","14359",
"IT-C-3487","15302","14891",
"IT-C-3488","12465","11765",
"IT-C-3883","12595","12000",
"IT-C-3868","12702","12097",
"IT-C-3481","12762","12480",
"IT-C-3862","13235","12972",
"OxA-33811","14004","13598",
"IT-C-3882","14068","13767",
"IT-C-3879","14162","13798",
"IT-C-3861","15049","14291",
"AA-6958","12603","11945",
"OxA-33812","12618","12097",
"IT-C-3432","14241","13507",
"IT-C-3846","14080","13614",
"Pta-1828","14128","13606",
"IT-C-3844","14800","13763",
"IT-C-3411","14965","13792",
"IT-C-3848","14817","14025",
"IT-C-3845","14846","14032",
"IT-C-3418","15074","14092",
"UW-412","15100","14108",
"IT-C-3434","15164","14148",
"IT-C-3433","15295","14070",
"IT-C-3855","15181","14336",
"IT-C-3880","15135","14336",
"OxA-33813","15200","14586",
"IT-C-3873","15370","14606",
"IT-C-4567","15499","14965",
"IT-C-4639","15620","15120",
"IT-C-3852","15812","15324",
"OxA-33814","15678","15280",
"IT-C-3849","15745","15247",
"Pta-3899","16602","15118",
"IT-C-4654","16445","15810",
"IT-C-3832","17245","16456",
"IT-C-3482","17307","16696",
"IT-C-3834","17738","16583",
"IT-C-3872","17415","17041",
"UW-301","17991","16541",
"IT-C-4698","18015","16625",
"IT-C-3874","18196","17532",
"Pta-2259","16203","15438",
"IT-C-3857","16902","16210",
"IT-C-3430","17051","16248",
"IT-C-3429","17374","16619",
"IT-C-3837","17383","16735",
"IT-C-3831","17413","16915",
"IT-C-3423","17892","17065",
"IT-C-3414","17989","17101",
"IT-C-4640","18063","17351",
"IT-C-3856","18120","17414",
"IT-C-4569","18637","17926",
"AA-6959","22015","21152",
"Pta-3283","22078","21012",
"IT-C-3871","24621","23840",
"IT-C-3425","25060","23793",
"OxA-33815","22012","21434",
"GrN-4814","14170","13614",
"Pta-1175","14925","13867",
"GrN-4815","14770","13780",
"Pta-1176","15065","14110",
"GrN-5873","15122","14082",
"GrN-4816","15104","14190",
"Pta-1177","15509","14999",
"Pta-1178","15607","15272",
"I-7948","15668","14280",
"OxA-32686","16548","16106",
"OxA-32687","17073","16640",
"Pta-1288","16602","15842",
"Pta-1067","15080","14189",
"Pta-1068","17049","16299",
"Pta-1200","16191","15396",
"Pta-6756","13456","13085",
"Pta-6757","15930","15165",
"AA-5834","13443","13117",
"Pta-6761","16265","15543",
"Pta-4321","16887","15962",
"GaK-4338","15517","13790",
"GifA-13001/SacA 31983","19200","18895",
"GifA-13002/SacA 31984","19445","19055",
"Pta-5308","22046","20989",
"Pta-4817","13599","13170",
"Pta-4822","20310","19513",
"GNH 5","16331","13131",
"UBA-38535","20895","20507",
"GV18/4/2","21328","20528",
"UGAMS-11599","15105","14534",
"OxA-4274","15380","15004",
"AA-5829","14182","13515",
"LJ-3150","14832","13805",
"AA-8564","14917","14097",
"Pta-100","15983","15300",
"LJ-3135","23820","22749",
"LJ-3136","24710","23297",
"Beta-522531","15894","15567",
"Beta-522530","16526","16186",
"Beta-522529","16765","16360",
"Pta-782a","14965","13871",
"Pta-782b","15170","14225",
"D-AMS 001837/828","16777","16340",
"D-AMS 002440/481","17355","17011",
"D-AMS 003799/858","18175","17595",
"D-AMS 001838/876","18203","17784",
"D-AMS 002440/686","18760","18288",
"D-AMS 002441/736","18786","18300",
"D-AMS 003800/920","19302","18923",
"D-AMS 001839/924","22330","21991",
"Pta-1406","24523","23474",
"Pta-1407","24621","23840",
"Pta-1367","24090","23047",
"OxA-23028","24560","23432",
"UW-233","18880","18287",
"D-AMS 003801/114","18657","18262",
"D-AMS 003802/141","19528","19183",
"OxA-32457","12596","12023",
"UW-218","12762","11959",
"OxA-32606","14122","13803",
"OxA-32458","18203","17800",
"I-6516","20729","19551",
"UW-175","23130","20524",
"OxA-32607","22506","22128",
"GrN-5884","22896","22352",
"OxA-32608","23285","22618",
"UGAMS-8980","11080","10691",
"OSL-NT11-23","13234","10034",
"OSL-NT11-22","13334","10934",
"OxA-2460","13990","13460",
"UGAMS-8981","14315","14059",
"UGAMS-8982","14805","14078",
"UOW-PL8-8","19336","14536",
"UOW-PL8-7","20136","15336",
"Pta-3451","12433","11280",
"Pta-7288","10693","10253",
"OxA-35528","11082","10603",
"Pta-7275","11140","10584",
"RCC10.1","16343","10743",
"RCC10.2","15343","10543",
"Pta-5593","15479","14358",
"Pta-5601","16493","15600",
"Q-3175","15265","13505",
"Q-3176","15077","13518",
"Q-3173","15933","14199",
"Pta-884","15933","15120",
"Q-3172","16240","15332",
"Q-1452","22252","20889",
"Pta-918","24441","23211",
"Pta-6065","13432","12623",
"OxA-32926","14040","13617",
"Pta-6282","14803","13770",
"OxA-32925","14821","14083",
"OxA-32924","14846","14189",
"OxA-32923","15555","15144",
"OxA-32922","15646","15257",
"Pta-6062","14846","14165",
"Pta-6058","15029","14147",
"Pta-6281","23781","22972",
"Pta-6077","24532","23894",
"OxA-32920","24618","23970",
"Pta-682","14028","13465",
"Pta-822","18259","17545",
"TX-5782","12434","11145",
"TX-5631","14827","13097",
"TX-5783","14883","13313",
"UBA-17609","17497","17286",
"UBA-17610","17840","17300",
"UBA-17611","18651","18275",
"UBA-17612","19823","19427",
"UBA-17613","23773","23286",
"UBA-17614","23887","23387",
"UBB5","24927","16927",
"Pta-4307","10657","9915",
"Pta-4226","16444","15716",
